# x  OriginalData  Fit  Background  peak0  peak1  peak2
3.964000000000000057e+01 2.000000000000000000e+01 2.152272258856758924e+01 2.028176615456777654e+01 1.027985170813691562e+00 1.848600160253169589e-01 2.811124716080213443e-02
3.965999999999999659e+01 1.200000000000000000e+01 2.156162872163912780e+01 2.031489364700021838e+01 1.033261876214141672e+00 1.853039969107543594e-01 2.816920151401300018e-02
3.967999999999999972e+01 1.500000000000000000e+01 2.160051720841773459e+01 2.034796095664566451e+01 1.038579337076453779e+00 1.857495794037966330e-01 2.822733529181981407e-02
3.970000000000000284e+01 2.400000000000000000e+01 2.163938847838376489e+01 2.038096808350391598e+01 1.043937974425902970e+00 1.861967712182168722e-01 2.828564923573073653e-02
3.971999999999999886e+01 2.100000000000000000e+01 2.167824296652214855e+01 2.041391502757511489e+01 1.049338214741651676e+00 1.866455801142898052e-01 2.834414409108890892e-02
3.974000000000000199e+01 3.100000000000000000e+01 2.171708111340722880e+01 2.044680178885920441e+01 1.054780490041799190e+00 1.870960138991287214e-01 2.840282060709629908e-02
3.975999999999999801e+01 3.100000000000000000e+01 2.175590336529004887e+01 2.047962836735621295e+01 1.060265237969971519e+00 1.875480804270249768e-01 2.846167953683759536e-02
3.978000000000000114e+01 1.500000000000000000e+01 2.179471017418672218e+01 2.051239476306611209e+01 1.065792901883514388e+00 1.880017875997911092e-01 2.852072163730449625e-02
3.979999999999999716e+01 2.700000000000000000e+01 2.183350199796876723e+01 2.054510097598895868e+01 1.071363930943282083e+00 1.884571433671055063e-01 2.857994766941996875e-02
3.982000000000000028e+01 1.700000000000000000e+01 2.187227930045470004e+01 2.057774700612466745e+01 1.076978780205105624e+00 1.889141557268615434e-01 2.863935839806283981e-02
3.984000000000000341e+01 1.500000000000000000e+01 2.191104255150387914e+01 2.061033285347335209e+01 1.082637910712917817e+00 1.893728327255186639e-01 2.869895459209245367e-02
3.985999999999999943e+01 3.000000000000000000e+01 2.194979222711129196e+01 2.064285851803484206e+01 1.088341789593620046e+00 1.898331824584563177e-01 2.875873702437358598e-02
3.988000000000000256e+01 2.000000000000000000e+01 2.198852880950521183e+01 2.067532399980936475e+01 1.094090890153711859e+00 1.902952130703325084e-01 2.881870647180153830e-02
3.989999999999999858e+01 2.000000000000000000e+01 2.202725278724515690e+01 2.070772929879669277e+01 1.099885691977692259e+00 1.907589327554429504e-01 2.887886371532730201e-02
3.992000000000000171e+01 2.400000000000000000e+01 2.206596465532339124e+01 2.074007441499699667e+01 1.105726681028327274e+00 1.912243497580854157e-01 2.893920953998318710e-02
3.993999999999999773e+01 1.800000000000000000e+01 2.210466491526672783e+01 2.077235934841013432e+01 1.111614349748760056e+00 1.916914723729259695e-01 2.899974473490812832e-02
3.996000000000000085e+01 1.500000000000000000e+01 2.214335407524155741e+01 2.080458409903624784e+01 1.117549197166566533e+00 1.921603089453692292e-01 2.906047009337386910e-02
3.997999999999999687e+01 3.300000000000000000e+01 2.218203265015969805e+01 2.083674866687522353e+01 1.123531728999733748e+00 1.926308678719304002e-01 2.912138641281060425e-02
4.000000000000000000e+01 3.200000000000000000e+01 2.222070116178726096e+01 2.086885305192714668e+01 1.129562457764668348e+00 1.931031576006126127e-01 2.918249449483349689e-02
4.002000000000000313e+01 2.100000000000000000e+01 2.225936013885469933e+01 2.090089725419193201e+01 1.135641902886212140e+00 1.935771866312852030e-01 2.924379514526880344e-02
4.003999999999999915e+01 2.000000000000000000e+01 2.229801011716968162e+01 2.093288127366966478e+01 1.141770590809767283e+00 1.940529635160667676e-01 2.930528917418059529e-02
4.006000000000000227e+01 3.200000000000000000e+01 2.233665163973147827e+01 2.096480511036031658e+01 1.147949055115550232e+00 1.945304968597117712e-01 2.936697739589753248e-02
4.007999999999999829e+01 1.300000000000000000e+01 2.237528525684786374e+01 2.099666876426383055e+01 1.154177836634995513e+00 1.950097953199985967e-01 2.942886062903969646e-02
4.010000000000000142e+01 1.100000000000000000e+01 2.241391152625438465e+01 2.102847223538029198e+01 1.160457483569423021e+00 1.954908676081233143e-01 2.949093969654601258e-02
4.011999999999999744e+01 1.400000000000000000e+01 2.245253101323537592e+01 2.106021552370964400e+01 1.166788551610939750e+00 1.959737224890946150e-01 2.955321542570133603e-02
4.014000000000000057e+01 2.800000000000000000e+01 2.249114429074791133e+01 2.109189862925191505e+01 1.173171604065695872e+00 1.964583687821345737e-01 2.961568864816429766e-02
4.015999999999999659e+01 1.000000000000000000e+01 2.252975193954761224e+01 2.112352155200704829e+01 1.179607211979485371e+00 1.969448153610802443e-01 2.967836019999480976e-02
4.017999999999999972e+01 2.400000000000000000e+01 2.256835454831743348e+01 2.115508429197515738e+01 1.186095954265802721e+00 1.974330711547912787e-01 2.974123092168233159e-02
4.020000000000000284e+01 2.600000000000000000e+01 2.260695271379823978e+01 2.118658684915615709e+01 1.192638417836348497e+00 1.979231451475589598e-01 2.980430165817385055e-02
4.021999999999999886e+01 3.500000000000000000e+01 2.264554704092255832e+01 2.121802922355004739e+01 1.199235197734091818e+00 1.984150463795200381e-01 2.986757325890234543e-02
4.024000000000000199e+01 1.100000000000000000e+01 2.268413814295064412e+01 2.124941141515682830e+01 1.205886897268924507e+00 1.989087839470743413e-01 2.993104657781548925e-02
