# x  Fit  Background  peak0  peak1
5.242000000000000171e+01 2.815358575811209008e+01 2.461825651400340575e+01 3.330926832209646360e+00 2.044024118990378780e-01
5.243999999999999773e+01 2.824995347943981372e+01 2.467880442898103865e+01 3.365510385053724018e+00 2.056386654050492702e-01
5.246000000000000085e+01 2.834658503179049305e+01 2.473906216668888192e+01 3.400636686661341557e+00 2.068861784402661608e-01
5.247999999999999687e+01 2.844349199788351967e+01 2.479902972712693554e+01 3.436317182480641108e+00 2.081450882759401932e-01
5.250000000000000000e+01 2.854068626660971120e+01 2.485870711029542690e+01 3.472563622030736763e+00 2.094155342835454237e-01
5.252000000000000313e+01 2.863818004283975682e+01 2.491809431619390125e+01 3.509388068672368632e+00 2.106976579734875787e-01
5.253999999999999915e+01 2.873598585760561974e+01 2.497719134482304071e+01 3.546802909747923671e+00 2.119916030346547797e-01
5.256000000000000227e+01 2.883411657866372124e+01 2.503599819618216316e+01 3.584820867106734532e+00 2.132975153748234154e-01
5.257999999999999829e+01 2.893258542146609358e+01 2.509451487027172334e+01 3.623455008032429259e+00 2.146155431619389264e-01
5.260000000000000142e+01 2.903140596054812761e+01 2.515274136709149388e+01 3.662718756590332081e+00 2.159458368663013661e-01
5.261999999999999744e+01 2.913059214135804353e+01 2.521067768664124742e+01 3.702625905413129193e+00 2.172885493036674220e-01
5.264000000000000057e+01 2.923015829254569198e+01 2.526832382892166606e+01 3.743190627944719129e+00 2.186438356793039828e-01
5.265999999999999659e+01 2.933011913872764254e+01 2.532567979393229507e+01 3.784427491162344559e+00 2.200118536330047669e-01
5.267999999999999972e+01 2.943048981375723017e+01 2.538274558167313444e+01 3.826351468798987909e+00 2.213927632851060145e-01
5.270000000000000284e+01 2.953128587451594811e+01 2.543952119214418417e+01 3.868977955088248155e+00 2.227867272835163392e-01
5.271999999999999886e+01 2.963252331525335848e+01 2.549600662534567164e+01 3.912322779055890987e+00 2.241939108517938262e-01
5.274000000000000199e+01 2.973421858249837157e+01 2.555220188127714209e+01 3.956402219382934682e+00 2.256144818382960215e-01
5.275999999999999801e+01 2.983638859057223414e+01 2.560810695993927766e+01 4.001233019866534235e+00 2.270486107664229369e-01
